Notes,Occurrence County,Occurrence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Autauga County, AL",1001,"2019 Week 02 ending January 12, 2019",2019/02,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 03 ending January 19, 2019",2019/03,15,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 04 ending January 26, 2019",2019/04,12,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 14 ending April 06, 2019",2019/14,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 15 ending April 13, 2019",2019/15,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 18 ending May 04, 2019",2019/18,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 19 ending May 11, 2019",2019/19,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 26 ending June 29, 2019",2019/26,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 27 ending July 06, 2019",2019/27,12,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 36 ending September 07, 2019",2019/36,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 37 ending September 14, 2019",2019/37,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 38 ending September 21, 2019",2019/38,13,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 40 ending October 05, 2019",2019/40,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 42 ending October 19, 2019",2019/42,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 45 ending November 09, 2019",2019/45,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 47 ending November 23, 2019",2019/47,12,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 50 ending December 14, 2019",2019/50,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2019 Week 51 ending December 21, 2019",2019/51,10,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2019 Week 01 ending January 05, 2019",2019/01,49,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2019 Week 02 ending January 12, 2019",2019/02,36,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2019 Week 03 ending January 19, 2019",2019/03,47,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2019 Week 04 ending January 26, 2019",2019/04,47,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2019 Week 05 ending February 02, 2019",2019/05,29,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2019 Week 06 ending February 09, 2019",2019/06,35,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2019 Week 07 ending February 16, 2019",2019/07,42,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2019 Week 08 ending February 23, 2019",2019/08,47,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2019 Week 09 ending March 02, 2019",2019/09,40,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2019 Week 10 ending March 09, 2019",2019/10,42,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2019 Week 11 ending March 16, 2019",2019/11,45,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2019 Week 12 ending March 23, 2019",2019/12,43,Not Applicable,Not Applicable
