"","unique.jail_pop.fips."
"1",1001
"2",1003
"3",1009
"4",1015
"5",1017
"6",1019
"7",1023
"8",1027
"9",1029
"10",1031
"11",1033
"12",1037
"13",1045
"14",1049
"15",1055
"16",1057
"17",1059
"18",1069
"19",1071
"20",1073
"21",1093
"22",1095
"23",1097
"24",1103
"25",1107
"26",1109
"27",1111
"28",1115
"29",1117
"30",1121
"31",1129
"32",4001
"33",4003
"34",4009
"35",4013
"36",4015
"37",4017
"38",4019
"39",4025
"40",4027
"41",5005
"42",5007
"43",5009
"44",5027
"45",5031
"46",5033
"47",5035
"48",5037
"49",5043
"50",5045
"51",5047
"52",5057
"53",5061
"54",5063
"55",5069
"56",5071
"57",5085
"58",5087
"59",5089
"60",5095
"61",5099
"62",5103
"63",5111
"64",5115
"65",5119
"66",5123
"67",5125
"68",5129
"69",5137
"70",5139
"71",5141
"72",5143
"73",5145
"74",6001
"75",6005
"76",6007
"77",6009
"78",6011
"79",6013
"80",6015
"81",6017
"82",6019
"83",6021
"84",6023
"85",6025
"86",6027
"87",6029
"88",6031
"89",6033
"90",6035
"91",6037
"92",6039
"93",6041
"94",6043
"95",6045
"96",6047
"97",6049
"98",6051
"99",6053
"100",6055
"101",6057
"102",6059
"103",6061
"104",6063
"105",6065
"106",6067
"107",6069
"108",6071
"109",6073
"110",6075
"111",6077
"112",6079
"113",6081
"114",6083
"115",6085
"116",6087
"117",6089
"118",6093
"119",6095
"120",6097
"121",6099
"122",6101
"123",6103
"124",6105
"125",6107
"126",6109
"127",6111
"128",6113
"129",6115
"130",8001
"131",8005
"132",8011
"133",8013
"134",8031
"135",8035
"136",8041
"137",8059
"138",8069
"139",8077
"140",8085
"141",8097
"142",8101
"143",8125
"144",11001
"145",12001
"146",12003
"147",12005
"148",12007
"149",12009
"150",12011
"151",12013
"152",12015
"153",12017
"154",12019
"155",12021
"156",12023
"157",12027
"158",12029
"159",12031
"160",12033
"161",12035
"162",12037
"163",12039
"164",12041
"165",12043
"166",12045
"167",12047
"168",12049
"169",12051
"170",12053
"171",12055
"172",12057
"173",12059
"174",12061
"175",12063
"176",12065
"177",12067
"178",12069
"179",12071
"180",12073
"181",12075
"182",12077
"183",12079
"184",12081
"185",12083
"186",12085
"187",12086
"188",12087
"189",12089
"190",12091
"191",12093
"192",12095
"193",12097
"194",12099
"195",12101
"196",12103
"197",12105
"198",12107
"199",12109
"200",12111
"201",12113
"202",12115
"203",12117
"204",12119
"205",12121
"206",12123
"207",12125
"208",12127
"209",12129
"210",12131
"211",12133
"212",13001
"213",13003
"214",13005
"215",13009
"216",13011
"217",13013
"218",13015
"219",13017
"220",13019
"221",13021
"222",13023
"223",13025
"224",13027
"225",13029
"226",13031
"227",13033
"228",13035
"229",13037
"230",13039
"231",13043
"232",13045
"233",13047
"234",13051
"235",13055
"236",13057
"237",13059
"238",13063
"239",13067
"240",13069
"241",13071
"242",13073
"243",13075
"244",13077
"245",13079
"246",13081
"247",13083
"248",13085
"249",13087
"250",13089
"251",13091
"252",13093
"253",13095
"254",13097
"255",13099
"256",13103
"257",13105
"258",13107
"259",13109
"260",13111
"261",13113
"262",13115
"263",13117
"264",13119
"265",13121
"266",13123
"267",13127
"268",13129
"269",13131
"270",13133
"271",13135
"272",13137
"273",13139
"274",13141
"275",13143
"276",13145
"277",13147
"278",13149
"279",13151
"280",13153
"281",13155
"282",13157
"283",13159
"284",13161
"285",13163
"286",13165
"287",13167
"288",13169
"289",13171
"290",13175
"291",13177
"292",13179
"293",13181
"294",13185
"295",13187
"296",13189
"297",13191
"298",13193
"299",13195
"300",13197
"301",13199
"302",13201
"303",13205
"304",13207
"305",13211
"306",13213
"307",13215
"308",13217
"309",13219
"310",13221
"311",13223
"312",13225
"313",13227
"314",13229
"315",13231
"316",13233
"317",13235
"318",13237
"319",13241
"320",13243
"321",13245
"322",13247
"323",13249
"324",13251
"325",13253
"326",13255
"327",13257
"328",13261
"329",13267
"330",13269
"331",13271
"332",13273
"333",13275
"334",13277
"335",13279
"336",13281
"337",13283
"338",13285
"339",13287
"340",13289
"341",13291
"342",13293
"343",13295
"344",13297
"345",13299
"346",13303
"347",13305
"348",13309
"349",13311
"350",13313
"351",13315
"352",13317
"353",13319
"354",13321
"355",16001
"356",16005
"357",16011
"358",16013
"359",16017
"360",16019
"361",16027
"362",16031
"363",16039
"364",16069
"365",16073
"366",16077
"367",16083
"368",16087
"369",17001
"370",17029
"371",17031
"372",17033
"373",17041
"374",17089
"375",17091
"376",17093
"377",17111
"378",17115
"379",17127
"380",17139
"381",17157
"382",17159
"383",17163
"384",17177
"385",17185
"386",17197
"387",17203
"388",18001
"389",18003
"390",18005
"391",18007
"392",18009
"393",18011
"394",18013
"395",18015
"396",18017
"397",18019
"398",18021
"399",18023
"400",18025
"401",18027
"402",18029
"403",18031
"404",18033
"405",18035
"406",18037
"407",18039
"408",18041
"409",18043
"410",18045
"411",18047
"412",18049
"413",18051
"414",18053
"415",18055
"416",18057
"417",18059
"418",18061
"419",18063
"420",18065
"421",18067
"422",18069
"423",18071
"424",18073
"425",18075
"426",18077
"427",18079
"428",18081
"429",18083
"430",18085
"431",18087
"432",18089
"433",18091
"434",18093
"435",18095
"436",18097
"437",18099
"438",18101
"439",18103
"440",18105
"441",18107
"442",18109
"443",18111
"444",18113
"445",18117
"446",18119
"447",18121
"448",18123
"449",18125
"450",18127
"451",18129
"452",18131
"453",18133
"454",18135
"455",18137
"456",18139
"457",18141
"458",18143
"459",18145
"460",18147
"461",18149
"462",18151
"463",18153
"464",18155
"465",18157
"466",18159
"467",18161
"468",18163
"469",18165
"470",18167
"471",18169
"472",18171
"473",18173
"474",18175
"475",18177
"476",18179
"477",18181
"478",18183
"479",19013
"480",19021
"481",19033
"482",19045
"483",19049
"484",19057
"485",19059
"486",19083
"487",19093
"488",19103
"489",19113
"490",19119
"491",19127
"492",19141
"493",19149
"494",19153
"495",19155
"496",19163
"497",19169
"498",19195
"499",20013
"500",20017
"501",20021
"502",20037
"503",20041
"504",20043
"505",20045
"506",20055
"507",20061
"508",20085
"509",20087
"510",20099
"511",20113
"512",20115
"513",20151
"514",20155
"515",20169
"516",20173
"517",20177
"518",20181
"519",20191
"520",20193
"521",20195
"522",20197
"523",20207
"524",20209
"525",21001
"526",21003
"527",21007
"528",21009
"529",21013
"530",21015
"531",21017
"532",21019
"533",21021
"534",21027
"535",21029
"536",21031
"537",21033
"538",21035
"539",21037
"540",21041
"541",21043
"542",21045
"543",21047
"544",21049
"545",21051
"546",21055
"547",21059
"548",21067
"549",21071
"550",21073
"551",21075
"552",21081
"553",21083
"554",21085
"555",21089
"556",21093
"557",21095
"558",21099
"559",21101
"560",21107
"561",21109
"562",21111
"563",21113
"564",21115
"565",21117
"566",21121
"567",21123
"568",21125
"569",21129
"570",21131
"571",21133
"572",21135
"573",21137
"574",21141
"575",21145
"576",21151
"577",21155
"578",21157
"579",21161
"580",21163
"581",21173
"582",21177
"583",21179
"584",21183
"585",21185
"586",21193
"587",21195
"588",21197
"589",21199
"590",21203
"591",21205
"592",21207
"593",21209
"594",21211
"595",21213
"596",21217
"597",21219
"598",21225
"599",21227
"600",21231
"601",21233
"602",21235
"603",21239
"604",22001
"605",22003
"606",22005
"607",22007
"608",22009
"609",22011
"610",22013
"611",22015
"612",22017
"613",22019
"614",22021
"615",22023
"616",22025
"617",22027
"618",22029
"619",22031
"620",22033
"621",22037
"622",22039
"623",22041
"624",22045
"625",22047
"626",22049
"627",22051
"628",22053
"629",22055
"630",22057
"631",22059
"632",22061
"633",22063
"634",22065
"635",22067
"636",22069
"637",22071
"638",22073
"639",22075
"640",22077
"641",22079
"642",22081
"643",22083
"644",22085
"645",22087
"646",22089
"647",22091
"648",22093
"649",22095
"650",22097
"651",22099
"652",22101
"653",22103
"654",22105
"655",22107
"656",22109
"657",22113
"658",22115
"659",22117
"660",22119
"661",22121
"662",22123
"663",22125
"664",22127
"665",23005
"666",23019
"667",24001
"668",24019
"669",24033
"670",24037
"671",24510
"672",25025
"673",25027
"674",26001
"675",26003
"676",26007
"677",26009
"678",26011
"679",26013
"680",26017
"681",26019
"682",26021
"683",26023
"684",26025
"685",26033
"686",26035
"687",26037
"688",26039
"689",26041
"690",26043
"691",26045
"692",26049
"693",26053
"694",26057
"695",26059
"696",26061
"697",26063
"698",26065
"699",26067
"700",26069
"701",26071
"702",26073
"703",26077
"704",26079
"705",26085
"706",26087
"707",26093
"708",26097
"709",26099
"710",26101
"711",26103
"712",26107
"713",26109
"714",26111
"715",26113
"716",26115
"717",26117
"718",26119
"719",26121
"720",26123
"721",26125
"722",26127
"723",26129
"724",26131
"725",26133
"726",26135
"727",26137
"728",26141
"729",26143
"730",26145
"731",26149
"732",26151
"733",26153
"734",26157
"735",26159
"736",26163
"737",26165
"738",27001
"739",27007
"740",27009
"741",27013
"742",27015
"743",27017
"744",27019
"745",27021
"746",27025
"747",27027
"748",27029
"749",27031
"750",27035
"751",27037
"752",27041
"753",27043
"754",27045
"755",27047
"756",27049
"757",27053
"758",27057
"759",27059
"760",27065
"761",27067
"762",27071
"763",27073
"764",27079
"765",27083
"766",27085
"767",27091
"768",27093
"769",27095
"770",27097
"771",27099
"772",27103
"773",27105
"774",27109
"775",27113
"776",27115
"777",27117
"778",27119
"779",27123
"780",27127
"781",27129
"782",27131
"783",27135
"784",27137
"785",27139
"786",27141
"787",27143
"788",27147
"789",27151
"790",27153
"791",27155
"792",27157
"793",27159
"794",27161
"795",27165
"796",27167
"797",27169
"798",27171
"799",27173
"800",28001
"801",28025
"802",28033
"803",28035
"804",28045
"805",28047
"806",28049
"807",28059
"808",28061
"809",28069
"810",28073
"811",28081
"812",28091
"813",28111
"814",28133
"815",28143
"816",28163
"817",29009
"818",29013
"819",29015
"820",29017
"821",29019
"822",29021
"823",29031
"824",29037
"825",29039
"826",29043
"827",29045
"828",29047
"829",29053
"830",29061
"831",29063
"832",29077
"833",29083
"834",29089
"835",29095
"836",29097
"837",29101
"838",29109
"839",29111
"840",29117
"841",29119
"842",29127
"843",29137
"844",29141
"845",29147
"846",29157
"847",29165
"848",29169
"849",29175
"850",29189
"851",29195
"852",29201
"853",29209
"854",29213
"855",29510
"856",30001
"857",30003
"858",30007
"859",30013
"860",30023
"861",30029
"862",30035
"863",30043
"864",30047
"865",30049
"866",30063
"867",30081
"868",30087
"869",30093
"870",30105
"871",30111
"872",31055
"873",31079
"874",31095
"875",31101
"876",31109
"877",31111
"878",31153
"879",32003
"880",33001
"881",33005
"882",34001
"883",34003
"884",34005
"885",34007
"886",34009
"887",34011
"888",34013
"889",34015
"890",34017
"891",34019
"892",34021
"893",34023
"894",34025
"895",34027
"896",34029
"897",34031
"898",34033
"899",34035
"900",34037
"901",34039
"902",34041
"903",35001
"904",35009
"905",35015
"906",35025
"907",35029
"908",35043
"909",35045
"910",35047
"911",35051
"912",35053
"913",36001
"914",36003
"915",36007
"916",36009
"917",36011
"918",36013
"919",36015
"920",36017
"921",36019
"922",36021
"923",36023
"924",36025
"925",36027
"926",36029
"927",36031
"928",36033
"929",36035
"930",36037
"931",36039
"932",36041
"933",36043
"934",36045
"935",36049
"936",36051
"937",36053
"938",36055
"939",36057
"940",36059
"941",36061
"942",36063
"943",36065
"944",36067
"945",36069
"946",36071
"947",36073
"948",36075
"949",36077
"950",36079
"951",36083
"952",36087
"953",36089
"954",36091
"955",36093
"956",36095
"957",36097
"958",36099
"959",36101
"960",36103
"961",36105
"962",36107
"963",36109
"964",36111
"965",36113
"966",36115
"967",36117
"968",36119
"969",36121
"970",36123
"971",37001
"972",37003
"973",37007
"974",37021
"975",37023
"976",37025
"977",37027
"978",37031
"979",37035
"980",37039
"981",37045
"982",37049
"983",37057
"984",37063
"985",37067
"986",37071
"987",37081
"988",37085
"989",37089
"990",37101
"991",37105
"992",37109
"993",37119
"994",37125
"995",37129
"996",37135
"997",37141
"998",37147
"999",37151
"1000",37153
"1001",37159
"1002",37163
"1003",37167
"1004",37175
"1005",37183
"1006",38003
"1007",38015
"1008",38017
"1009",38071
"1010",38089
"1011",38093
"1012",38101
"1013",38105
"1014",39001
"1015",39009
"1016",39013
"1017",39025
"1018",39027
"1019",39031
"1020",39041
"1021",39043
"1022",39049
"1023",39053
"1024",39059
"1025",39061
"1026",39077
"1027",39083
"1028",39089
"1029",39107
"1030",39117
"1031",39121
"1032",39123
"1033",39129
"1034",39143
"1035",39153
"1036",39157
"1037",39167
"1038",39171
"1039",39173
"1040",40005
"1041",40017
"1042",40023
"1043",40031
"1044",40037
"1045",40049
"1046",40051
"1047",40087
"1048",40097
"1049",40109
"1050",40111
"1051",40113
"1052",40117
"1053",40125
"1054",40131
"1055",40143
"1056",40145
"1057",41001
"1058",41003
"1059",41005
"1060",41007
"1061",41009
"1062",41011
"1063",41013
"1064",41015
"1065",41017
"1066",41019
"1067",41025
"1068",41029
"1069",41031
"1070",41033
"1071",41035
"1072",41041
"1073",41043
"1074",41047
"1075",41051
"1076",41057
"1077",41059
"1078",41061
"1079",41065
"1080",41067
"1081",41071
"1082",42001
"1083",42003
"1084",42005
"1085",42007
"1086",42009
"1087",42011
"1088",42013
"1089",42015
"1090",42017
"1091",42019
"1092",42021
"1093",42023
"1094",42025
"1095",42027
"1096",42029
"1097",42031
"1098",42033
"1099",42035
"1100",42037
"1101",42039
"1102",42041
"1103",42043
"1104",42045
"1105",42047
"1106",42049
"1107",42051
"1108",42053
"1109",42055
"1110",42059
"1111",42061
"1112",42063
"1113",42065
"1114",42067
"1115",42069
"1116",42071
"1117",42073
"1118",42075
"1119",42077
"1120",42079
"1121",42081
"1122",42083
"1123",42085
"1124",42087
"1125",42089
"1126",42091
"1127",42093
"1128",42095
"1129",42097
"1130",42099
"1131",42101
"1132",42103
"1133",42105
"1134",42107
"1135",42109
"1136",42111
"1137",42113
"1138",42115
"1139",42117
"1140",42119
"1141",42121
"1142",42123
"1143",42125
"1144",42127
"1145",42129
"1146",42131
"1147",42133
"1148",45003
"1149",45007
"1150",45013
"1151",45015
"1152",45019
"1153",45021
"1154",45023
"1155",45031
"1156",45041
"1157",45055
"1158",45059
"1159",45063
"1160",45067
"1161",45071
"1162",45073
"1163",45077
"1164",45083
"1165",45085
"1166",45087
"1167",46011
"1168",46027
"1169",46029
"1170",46099
"1171",46103
"1172",46113
"1173",47001
"1174",47003
"1175",47005
"1176",47007
"1177",47009
"1178",47011
"1179",47013
"1180",47015
"1181",47017
"1182",47019
"1183",47021
"1184",47023
"1185",47025
"1186",47027
"1187",47029
"1188",47031
"1189",47033
"1190",47035
"1191",47037
"1192",47039
"1193",47041
"1194",47043
"1195",47045
"1196",47047
"1197",47049
"1198",47051
"1199",47053
"1200",47055
"1201",47057
"1202",47059
"1203",47061
"1204",47063
"1205",47065
"1206",47067
"1207",47069
"1208",47071
"1209",47073
"1210",47075
"1211",47077
"1212",47079
"1213",47081
"1214",47083
"1215",47085
"1216",47087
"1217",47089
"1218",47091
"1219",47093
"1220",47095
"1221",47097
"1222",47099
"1223",47101
"1224",47103
"1225",47105
"1226",47107
"1227",47109
"1228",47111
"1229",47113
"1230",47115
"1231",47117
"1232",47119
"1233",47121
"1234",47123
"1235",47125
"1236",47127
"1237",47129
"1238",47131
"1239",47133
"1240",47135
"1241",47139
"1242",47141
"1243",47143
"1244",47145
"1245",47147
"1246",47149
"1247",47151
"1248",47153
"1249",47155
"1250",47157
"1251",47159
"1252",47161
"1253",47163
"1254",47165
"1255",47167
"1256",47169
"1257",47171
"1258",47173
"1259",47175
"1260",47177
"1261",47179
"1262",47181
"1263",47183
"1264",47185
"1265",47187
"1266",47189
"1267",48001
"1268",48003
"1269",48005
"1270",48007
"1271",48009
"1272",48011
"1273",48013
"1274",48015
"1275",48017
"1276",48019
"1277",48021
"1278",48025
"1279",48027
"1280",48029
"1281",48031
"1282",48035
"1283",48037
"1284",48039
"1285",48041
"1286",48043
"1287",48047
"1288",48049
"1289",48051
"1290",48053
"1291",48055
"1292",48057
"1293",48059
"1294",48061
"1295",48063
"1296",48065
"1297",48067
"1298",48069
"1299",48071
"1300",48073
"1301",48075
"1302",48077
"1303",48079
"1304",48083
"1305",48085
"1306",48087
"1307",48089
"1308",48091
"1309",48093
"1310",48097
"1311",48099
"1312",48103
"1313",48105
"1314",48107
"1315",48109
"1316",48111
"1317",48113
"1318",48115
"1319",48117
"1320",48119
"1321",48121
"1322",48123
"1323",48125
"1324",48127
"1325",48129
"1326",48131
"1327",48133
"1328",48135
"1329",48137
"1330",48139
"1331",48141
"1332",48143
"1333",48145
"1334",48147
"1335",48149
"1336",48151
"1337",48157
"1338",48159
"1339",48161
"1340",48163
"1341",48165
"1342",48167
"1343",48169
"1344",48171
"1345",48175
"1346",48177
"1347",48179
"1348",48181
"1349",48183
"1350",48185
"1351",48187
"1352",48189
"1353",48191
"1354",48195
"1355",48197
"1356",48199
"1357",48201
"1358",48203
"1359",48207
"1360",48209
"1361",48211
"1362",48213
"1363",48215
"1364",48217
"1365",48219
"1366",48221
"1367",48223
"1368",48225
"1369",48227
"1370",48229
"1371",48231
"1372",48233
"1373",48235
"1374",48237
"1375",48239
"1376",48241
"1377",48245
"1378",48247
"1379",48249
"1380",48251
"1381",48253
"1382",48255
"1383",48257
"1384",48259
"1385",48265
"1386",48267
"1387",48271
"1388",48273
"1389",48275
"1390",48277
"1391",48279
"1392",48281
"1393",48283
"1394",48285
"1395",48287
"1396",48289
"1397",48291
"1398",48293
"1399",48295
"1400",48297
"1401",48299
"1402",48303
"1403",48305
"1404",48307
"1405",48309
"1406",48313
"1407",48315
"1408",48317
"1409",48319
"1410",48321
"1411",48323
"1412",48325
"1413",48327
"1414",48329
"1415",48331
"1416",48333
"1417",48335
"1418",48337
"1419",48339
"1420",48341
"1421",48343
"1422",48347
"1423",48349
"1424",48351
"1425",48353
"1426",48355
"1427",48357
"1428",48359
"1429",48361
"1430",48363
"1431",48365
"1432",48367
"1433",48369
"1434",48371
"1435",48373
"1436",48375
"1437",48377
"1438",48379
"1439",48381
"1440",48383
"1441",48385
"1442",48387
"1443",48389
"1444",48391
"1445",48395
"1446",48397
"1447",48399
"1448",48401
"1449",48403
"1450",48405
"1451",48407
"1452",48409
"1453",48411
"1454",48413
"1455",48415
"1456",48417
"1457",48419
"1458",48421
"1459",48423
"1460",48425
"1461",48427
"1462",48429
"1463",48433
"1464",48435
"1465",48437
"1466",48439
"1467",48441
"1468",48443
"1469",48445
"1470",48449
"1471",48451
"1472",48453
"1473",48455
"1474",48457
"1475",48459
"1476",48461
"1477",48463
"1478",48465
"1479",48467
"1480",48469
"1481",48471
"1482",48473
"1483",48475
"1484",48477
"1485",48479
"1486",48481
"1487",48483
"1488",48485
"1489",48487
"1490",48489
"1491",48491
"1492",48493
"1493",48495
"1494",48497
"1495",48499
"1496",48501
"1497",48503
"1498",48505
"1499",48507
"1500",49005
"1501",49011
"1502",49019
"1503",49021
"1504",49035
"1505",49039
"1506",49045
"1507",49053
"1508",49057
"1509",51013
"1510",51025
"1511",51069
"1512",51083
"1513",51085
"1514",51087
"1515",51119
"1516",51159
"1517",51161
"1518",51163
"1519",51187
"1520",51191
"1521",51550
"1522",51590
"1523",51670
"1524",51710
"1525",51770
"1526",51790
"1527",51800
"1528",51810
"1529",51830
"1530",53001
"1531",53007
"1532",53009
"1533",53011
"1534",53013
"1535",53015
"1536",53021
"1537",53025
"1538",53027
"1539",53029
"1540",53031
"1541",53033
"1542",53035
"1543",53037
"1544",53041
"1545",53043
"1546",53045
"1547",53047
"1548",53049
"1549",53053
"1550",53057
"1551",53059
"1552",53061
"1553",53063
"1554",53067
"1555",53071
"1556",53073
"1557",53075
"1558",53077
"1559",54039
"1560",55005
"1561",55009
"1562",55015
"1563",55017
"1564",55025
"1565",55031
"1566",55035
"1567",55043
"1568",55053
"1569",55059
"1570",55063
"1571",55069
"1572",55071
"1573",55079
"1574",55089
"1575",55093
"1576",55095
"1577",55101
"1578",55113
"1579",55117
"1580",55121
"1581",55133
"1582",56003
"1583",56021
"1584",56023
"1585",56027
"1586",56029
"1587",56037
