Notes,Residence County,Residence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
Total,"Aleutians East Borough, AK",2013,,,24,Not Applicable,Not Applicable
Total,"Aleutians West Census Area, AK",2016,,,49,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 01 ending January 05, 2019",2019/01,39,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 02 ending January 12, 2019",2019/02,36,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 03 ending January 19, 2019",2019/03,38,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 04 ending January 26, 2019",2019/04,41,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 05 ending February 02, 2019",2019/05,34,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 06 ending February 09, 2019",2019/06,37,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 07 ending February 16, 2019",2019/07,47,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 08 ending February 23, 2019",2019/08,36,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 09 ending March 02, 2019",2019/09,40,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 10 ending March 09, 2019",2019/10,45,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 11 ending March 16, 2019",2019/11,41,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 12 ending March 23, 2019",2019/12,34,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 13 ending March 30, 2019",2019/13,32,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 14 ending April 06, 2019",2019/14,41,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 15 ending April 13, 2019",2019/15,38,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 16 ending April 20, 2019",2019/16,34,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 17 ending April 27, 2019",2019/17,34,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 18 ending May 04, 2019",2019/18,41,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 19 ending May 11, 2019",2019/19,37,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 20 ending May 18, 2019",2019/20,32,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 21 ending May 25, 2019",2019/21,32,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 22 ending June 01, 2019",2019/22,22,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 23 ending June 08, 2019",2019/23,44,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 24 ending June 15, 2019",2019/24,38,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 25 ending June 22, 2019",2019/25,31,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 26 ending June 29, 2019",2019/26,35,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 27 ending July 06, 2019",2019/27,29,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 28 ending July 13, 2019",2019/28,34,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 29 ending July 20, 2019",2019/29,25,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 30 ending July 27, 2019",2019/30,16,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 31 ending August 03, 2019",2019/31,27,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 32 ending August 10, 2019",2019/32,42,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 33 ending August 17, 2019",2019/33,26,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 34 ending August 24, 2019",2019/34,23,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 35 ending August 31, 2019",2019/35,20,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 36 ending September 07, 2019",2019/36,21,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 37 ending September 14, 2019",2019/37,39,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 38 ending September 21, 2019",2019/38,39,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 39 ending September 28, 2019",2019/39,32,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 40 ending October 05, 2019",2019/40,39,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 41 ending October 12, 2019",2019/41,33,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 42 ending October 19, 2019",2019/42,39,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 43 ending October 26, 2019",2019/43,29,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 44 ending November 02, 2019",2019/44,32,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 45 ending November 09, 2019",2019/45,40,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 46 ending November 16, 2019",2019/46,41,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 47 ending November 23, 2019",2019/47,31,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 48 ending November 30, 2019",2019/48,46,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 49 ending December 07, 2019",2019/49,47,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 50 ending December 14, 2019",2019/50,41,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 51 ending December 21, 2019",2019/51,40,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2019 Week 52 ending December 28, 2019",2019/52,50,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 01 ending January 04, 2020",2020/01,33,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 02 ending January 11, 2020",2020/02,46,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 03 ending January 18, 2020",2020/03,42,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 04 ending January 25, 2020",2020/04,38,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 05 ending February 01, 2020",2020/05,32,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 06 ending February 08, 2020",2020/06,39,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 07 ending February 15, 2020",2020/07,33,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 08 ending February 22, 2020",2020/08,38,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 09 ending February 29, 2020",2020/09,39,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 10 ending March 07, 2020",2020/10,35,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 11 ending March 14, 2020",2020/11,29,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 12 ending March 21, 2020",2020/12,26,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 13 ending March 28, 2020",2020/13,38,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 14 ending April 04, 2020",2020/14,38,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 15 ending April 11, 2020",2020/15,33,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 16 ending April 18, 2020",2020/16,33,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 17 ending April 25, 2020",2020/17,33,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 18 ending May 02, 2020",2020/18,37,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 19 ending May 09, 2020",2020/19,33,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 20 ending May 16, 2020",2020/20,35,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 21 ending May 23, 2020",2020/21,33,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 22 ending May 30, 2020",2020/22,45,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 23 ending June 06, 2020",2020/23,33,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 24 ending June 13, 2020",2020/24,45,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 25 ending June 20, 2020",2020/25,32,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 26 ending June 27, 2020",2020/26,43,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 27 ending July 04, 2020",2020/27,25,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 28 ending July 11, 2020",2020/28,45,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 29 ending July 18, 2020",2020/29,34,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 30 ending July 25, 2020",2020/30,45,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 31 ending August 01, 2020",2020/31,38,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 32 ending August 08, 2020",2020/32,41,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 33 ending August 15, 2020",2020/33,36,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 34 ending August 22, 2020",2020/34,55,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 35 ending August 29, 2020",2020/35,33,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 36 ending September 05, 2020",2020/36,38,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 37 ending September 12, 2020",2020/37,30,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 38 ending September 19, 2020",2020/38,46,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 39 ending September 26, 2020",2020/39,54,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 40 ending October 03, 2020",2020/40,37,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 41 ending October 10, 2020",2020/41,47,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 42 ending October 17, 2020",2020/42,36,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 43 ending October 24, 2020",2020/43,45,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 44 ending October 31, 2020",2020/44,41,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 45 ending November 07, 2020",2020/45,50,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 46 ending November 14, 2020",2020/46,44,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 47 ending November 21, 2020",2020/47,42,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 48 ending November 28, 2020",2020/48,45,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 49 ending December 05, 2020",2020/49,54,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 50 ending December 12, 2020",2020/50,51,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 51 ending December 19, 2020",2020/51,53,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 52 ending December 26, 2020",2020/52,52,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2020 Week 53 ending January 02, 2021",2020/53,43,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 01 ending January 09, 2021 (provisional)",2021/01,43,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 02 ending January 16, 2021 (provisional)",2021/02,51,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 03 ending January 23, 2021 (provisional)",2021/03,35,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 04 ending January 30, 2021 (provisional)",2021/04,32,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 05 ending February 06, 2021 (provisional)",2021/05,28,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 06 ending February 13, 2021 (provisional)",2021/06,37,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 07 ending February 20, 2021 (provisional)",2021/07,42,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 08 ending February 27, 2021 (provisional)",2021/08,39,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 09 ending March 06, 2021 (provisional)",2021/09,33,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 10 ending March 13, 2021 (provisional)",2021/10,37,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 11 ending March 20, 2021 (provisional)",2021/11,46,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 12 ending March 27, 2021 (provisional)",2021/12,41,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 13 ending April 03, 2021 (provisional)",2021/13,32,Not Applicable,Not Applicable
,"Anchorage Borough, AK",2020,"2021 Week 14 ending April 10, 2021 (provisional)",2021/14,44,Not Applicable,Not Applicable
