 HEAD
﻿Notes,Occurrence County,Occurrence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Autauga County, AL",1001,"2018 Week 01 ending January 06, 2018",2018/01,14,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 02 ending January 13, 2018",2018/02,15,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 03 ending January 20, 2018",2018/03,16,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 05 ending February 03, 2018",2018/05,12,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 07 ending February 17, 2018",2018/07,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 10 ending March 10, 2018",2018/10,14,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 11 ending March 17, 2018",2018/11,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 14 ending April 07, 2018",2018/14,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 17 ending April 28, 2018",2018/17,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 19 ending May 12, 2018",2018/19,12,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 24 ending June 16, 2018",2018/24,14,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 28 ending July 14, 2018",2018/28,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 30 ending July 28, 2018",2018/30,13,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 32 ending August 11, 2018",2018/32,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 42 ending October 20, 2018",2018/42,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 45 ending November 10, 2018",2018/45,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 46 ending November 17, 2018",2018/46,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2018 Week 52 ending December 29, 2018",2018/52,10,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 01 ending January 06, 2018",2018/01,40,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 02 ending January 13, 2018",2018/02,55,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 03 ending January 20, 2018",2018/03,48,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 04 ending January 27, 2018",2018/04,62,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 05 ending February 03, 2018",2018/05,52,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 06 ending February 10, 2018",2018/06,51,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 07 ending February 17, 2018",2018/07,37,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 08 ending February 24, 2018",2018/08,46,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 09 ending March 03, 2018",2018/09,29,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 10 ending March 10, 2018",2018/10,48,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 11 ending March 17, 2018",2018/11,46,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 12 ending March 24, 2018",2018/12,36,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 13 ending March 31, 2018",2018/13,33,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 14 ending April 07, 2018",2018/14,41,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 15 ending April 14, 2018",2018/15,41,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 16 ending April 21, 2018",2018/16,37,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 17 ending April 28, 2018",2018/17,36,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 18 ending May 05, 2018",2018/18,48,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2018 Week 19 ending May 12, 2018",2018/19,33,Not Applicable,Not Applicable
