Notes,Residence County,Residence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Autauga County, AL",1001,"2020 Week 01 ending January 04, 2020",2020/01,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 04 ending January 25, 2020",2020/04,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 05 ending February 01, 2020",2020/05,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 06 ending February 08, 2020",2020/06,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 08 ending February 22, 2020",2020/08,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 09 ending February 29, 2020",2020/09,15,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 11 ending March 14, 2020",2020/11,12,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 12 ending March 21, 2020",2020/12,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 13 ending March 28, 2020",2020/13,13,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 15 ending April 11, 2020",2020/15,13,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 16 ending April 18, 2020",2020/16,15,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 17 ending April 25, 2020",2020/17,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 18 ending May 02, 2020",2020/18,13,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 19 ending May 09, 2020",2020/19,12,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 20 ending May 16, 2020",2020/20,12,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 22 ending May 30, 2020",2020/22,16,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 23 ending June 06, 2020",2020/23,15,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 24 ending June 13, 2020",2020/24,21,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 25 ending June 20, 2020",2020/25,13,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 26 ending June 27, 2020",2020/26,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 27 ending July 04, 2020",2020/27,21,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 28 ending July 11, 2020",2020/28,16,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 29 ending July 18, 2020",2020/29,12,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 30 ending July 25, 2020",2020/30,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 31 ending August 01, 2020",2020/31,12,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 32 ending August 08, 2020",2020/32,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 33 ending August 15, 2020",2020/33,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 34 ending August 22, 2020",2020/34,17,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 35 ending August 29, 2020",2020/35,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 36 ending September 05, 2020",2020/36,10,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 37 ending September 12, 2020",2020/37,13,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 38 ending September 19, 2020",2020/38,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 39 ending September 26, 2020",2020/39,12,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 41 ending October 10, 2020",2020/41,15,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 42 ending October 17, 2020",2020/42,15,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 43 ending October 24, 2020",2020/43,17,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 44 ending October 31, 2020",2020/44,11,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 45 ending November 07, 2020",2020/45,16,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 46 ending November 14, 2020",2020/46,13,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 47 ending November 21, 2020",2020/47,14,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 48 ending November 28, 2020",2020/48,13,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 50 ending December 12, 2020",2020/50,15,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 51 ending December 19, 2020",2020/51,14,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 52 ending December 26, 2020",2020/52,13,Not Applicable,Not Applicable
,"Autauga County, AL",1001,"2020 Week 53 ending January 02, 2021",2020/53,23,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 01 ending January 04, 2020",2020/01,46,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 02 ending January 11, 2020",2020/02,50,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 03 ending January 18, 2020",2020/03,45,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 04 ending January 25, 2020",2020/04,53,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 05 ending February 01, 2020",2020/05,51,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 06 ending February 08, 2020",2020/06,48,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 07 ending February 15, 2020",2020/07,44,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 08 ending February 22, 2020",2020/08,51,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 09 ending February 29, 2020",2020/09,49,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 10 ending March 07, 2020",2020/10,54,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 11 ending March 14, 2020",2020/11,57,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 12 ending March 21, 2020",2020/12,54,Not Applicable,Not Applicable
,"Baldwin County, AL",1003,"2020 Week 13 ending March 28, 2020",2020/13,45,Not Applicable,Not Applicable
