Notes,Occurrence County,Occurrence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Adams County, IL",17001,"2020 Week 51 ending December 19, 2020",2020/51,10,Not Applicable,Not Applicable
,"Adair County, IA",19001,"2020 Week 45 ending November 07, 2020",2020/45,10,Not Applicable,Not Applicable
,"Appanoose County, IA",19007,"2020 Week 46 ending November 14, 2020",2020/46,11,Not Applicable,Not Applicable
,"Appanoose County, IA",19007,"2020 Week 47 ending November 21, 2020",2020/47,15,Not Applicable,Not Applicable
,"Benton County, IA",19011,"2020 Week 45 ending November 07, 2020",2020/45,10,Not Applicable,Not Applicable
,"Benton County, IA",19011,"2020 Week 49 ending December 05, 2020",2020/49,10,Not Applicable,Not Applicable
,"Benton County, IA",19011,"2020 Week 52 ending December 26, 2020",2020/52,10,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 01 ending January 05, 2019",2019/01,35,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 02 ending January 12, 2019",2019/02,22,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 03 ending January 19, 2019",2019/03,31,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 04 ending January 26, 2019",2019/04,22,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 05 ending February 02, 2019",2019/05,20,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 06 ending February 09, 2019",2019/06,20,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 07 ending February 16, 2019",2019/07,23,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 08 ending February 23, 2019",2019/08,33,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 09 ending March 02, 2019",2019/09,30,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 10 ending March 09, 2019",2019/10,26,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 11 ending March 16, 2019",2019/11,20,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 12 ending March 23, 2019",2019/12,31,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 13 ending March 30, 2019",2019/13,24,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 14 ending April 06, 2019",2019/14,36,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 15 ending April 13, 2019",2019/15,28,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 16 ending April 20, 2019",2019/16,30,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 17 ending April 27, 2019",2019/17,20,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 18 ending May 04, 2019",2019/18,26,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 19 ending May 11, 2019",2019/19,23,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 20 ending May 18, 2019",2019/20,24,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 21 ending May 25, 2019",2019/21,25,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 22 ending June 01, 2019",2019/22,22,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 23 ending June 08, 2019",2019/23,34,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 24 ending June 15, 2019",2019/24,23,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 25 ending June 22, 2019",2019/25,19,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 26 ending June 29, 2019",2019/26,25,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 27 ending July 06, 2019",2019/27,17,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 28 ending July 13, 2019",2019/28,45,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 29 ending July 20, 2019",2019/29,18,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 30 ending July 27, 2019",2019/30,35,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 31 ending August 03, 2019",2019/31,20,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 32 ending August 10, 2019",2019/32,25,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 33 ending August 17, 2019",2019/33,24,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 34 ending August 24, 2019",2019/34,24,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 35 ending August 31, 2019",2019/35,32,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 36 ending September 07, 2019",2019/36,29,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2019 Week 37 ending September 14, 2019",2019/37,26,Not Applicable,Not Applicable
