Notes,Occurrence County,Occurrence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Craighead County, AR",5031,"2021 Week 01 ending January 09, 2021 (provisional)",2021/01,10,Not Applicable,Not Applicable
,"Benton County, IA",19011,"2021 Week 38 ending September 25, 2021 (provisional)",2021/38,10,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 01 ending January 09, 2021 (provisional)",2021/01,34,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 02 ending January 16, 2021 (provisional)",2021/02,32,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 03 ending January 23, 2021 (provisional)",2021/03,35,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 04 ending January 30, 2021 (provisional)",2021/04,32,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 05 ending February 06, 2021 (provisional)",2021/05,37,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 06 ending February 13, 2021 (provisional)",2021/06,30,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 07 ending February 20, 2021 (provisional)",2021/07,32,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 08 ending February 27, 2021 (provisional)",2021/08,26,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 09 ending March 06, 2021 (provisional)",2021/09,25,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 10 ending March 13, 2021 (provisional)",2021/10,34,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 11 ending March 20, 2021 (provisional)",2021/11,18,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 12 ending March 27, 2021 (provisional)",2021/12,23,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 13 ending April 03, 2021 (provisional)",2021/13,20,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 14 ending April 10, 2021 (provisional)",2021/14,31,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 15 ending April 17, 2021 (provisional)",2021/15,28,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 16 ending April 24, 2021 (provisional)",2021/16,29,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 17 ending May 01, 2021 (provisional)",2021/17,26,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 18 ending May 08, 2021 (provisional)",2021/18,21,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 19 ending May 15, 2021 (provisional)",2021/19,30,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 20 ending May 22, 2021 (provisional)",2021/20,16,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 21 ending May 29, 2021 (provisional)",2021/21,30,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 22 ending June 05, 2021 (provisional)",2021/22,27,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 23 ending June 12, 2021 (provisional)",2021/23,32,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 24 ending June 19, 2021 (provisional)",2021/24,28,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 25 ending June 26, 2021 (provisional)",2021/25,28,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 26 ending July 03, 2021 (provisional)",2021/26,31,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 27 ending July 10, 2021 (provisional)",2021/27,16,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 28 ending July 17, 2021 (provisional)",2021/28,39,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 29 ending July 24, 2021 (provisional)",2021/29,26,Not Applicable,Not Applicable
,"Black Hawk County, IA",19013,"2021 Week 30 ending July 31, 2021 (provisional)",2021/30,27,Not Applicable,Not Applicable
